priority,category,domain,target_url_or_search,desired_link_type,anchor_or_context,status,next_action
1,Manufacturer profile,trex.com,https://www.trex.com/find-a-builder/,Contractor profile link,Loudoun Decks / LDN Decks,To verify,"Confirm listing exists, website field points to https://ldndecks.com/, and profile has project photos."
1,Manufacturer profile,timbertech.com,https://locator.timbertech.com/,Contractor profile link,Loudoun Decks / LDN Decks,Not started,"Create or update contractor profile with website, service area, photos, certifications, and warranty eligibility details."
1,Manufacturer profile,azekexteriors.com,https://azekexteriors.com/find-a-pro,Contractor profile link,Loudoun Decks / LDN Decks,Not started,"Check if business can be listed as certified/authorized contractor."
1,Manufacturer profile,deckorators.com,https://www.deckorators.com/pages/find-a-builder,Contractor profile link,Loudoun Decks / LDN Decks,Not started,"Create or update Certified Pro listing if eligible."
1,Local chamber,loudounchamber.org,https://www.loudounchamber.org/,Member profile link,Loudoun Decks,Not started,"Join or update member profile; request website link and outdoor living/deck builder category."
1,Local chamber,business.loudounchamber.org,https://business.loudounchamber.org/list/member/loudoun-decks-30047,Direct member profile link,Loudoun Decks,Verified link / public corrected,"HTML has direct link to https://ldndecks.com with no nofollow in tag. Public page now shows Loudoun Decks, 13704 Winding Oak Cir, Centreville VA 20121, and phone (571) 655-7207."
1,Local chamber,fairfaxchamber.org,https://www.fairfaxchamber.org/,Member profile link,Loudoun Decks,Not started,"Join or update member profile; request website link and service area summary."
1,Local chamber,pwchamber.org,https://pwchamber.org/,Member profile link,Loudoun Decks,Not started,"Join or update member profile; request website link."
2,Local citation cleanup,bbb.org,https://www.bbb.org/us/va/centreville/profile/deck-builder/loudoun-decks-0241-236091241,Profile website link,Loudoun Decks,Verified canonical,"Public BBB profile/search result confirms A+ Accredited Business, Centreville NAP, phone 571-655-7207, and Visit Website. Keep as canonical; avoid old Manassas BBB references."
2,Local citation cleanup,yelp.com,https://www.yelp.com/biz/loudoun-decks-centreville,Profile website link,Loudoun Decks,Verified canonical,"Public Yelp profile confirms claimed Centreville listing, website ldndecks.com, phone (571) 655-7207, and Decks & Railing category. Keep as canonical; avoid old Manassas Yelp references."
2,Local citation cleanup,houzz.com,https://www.houzz.com/pro/webuser-782541997/loudoun-decks,Profile website link,Loudoun Decks,Manual verify,"Confirm website field is present; old /pro/ldndecks URL is no longer used on site."
2,Local citation cleanup,buildzoom.com,https://www.buildzoom.com/contractor/loudoun-decks,Profile website link,Loudoun Decks,Admin updated / license review pending,"BuildZoom admin now has website https://ldndecks.com/, Facebook, Yelp, description, photos, and narrowed service categories focused on framing, decks and porches, patios, and pergolas/arbors. Public HTML still did not expose ldndecks.com during last fetch. Public profile still shows license 2705191673 as Unable To Verify / No active license on file; license is pending BuildZoom review since 2025-11-15. Call Contractor Relations or support to push verification."
2,Local citation cleanup,mapquest.com,https://www.mapquest.com/us/virginia/loudoun-decks-532352487,Profile website link,Loudoun Decks,Scan submitted / claim pending,"MapQuest/Yext scan submitted on 2026-05-16. Scan showed 25% optimization and MapQuest missing. Continue only through free/account claim steps unless paid Yext is approved; otherwise clean manually."
2,Local citation cleanup,bingplaces.com,https://www.bing.com/maps?ss=ypid.YND1AFC4105F09B172&mkt=en-US,Local business listing,Loudoun Decks,Verified published,"Bing Places listing is published and synced with Google. NAP and website are correct; office@ldndecks.com was added on 2026-05-16. Yext scan incorrectly reported Bing missing. Category cleanup must happen in Google first, then resync Bing."
2,Local citation cleanup,facebook.com,https://www.facebook.com/,Social/local profile,Loudoun Decks,Incorrect in Yext scan,"Yext scan found name variant LOUDOUN DECKS BUILDER, odd suite formatting, and wrong/incomplete phone. Update page name/NAP/phone/website."
2,Local citation cleanup,merchantcircle.com,https://www.merchantcircle.com/,Local citation,Loudoun Decks,Incorrect in Yext scan,"Yext scan found PRIME SOLUTIONS at 42785 GENERATION DR using the Loudoun Decks phone. Claim/suppress/update to Loudoun Decks Centreville NAP."
2,Local citation cleanup,ezlocal.com,https://ezlocal.com/,Local citation,Loudoun Decks,Incorrect in Yext scan,"Yext scan found PRIME SOLUTIONS at 42785 GENERATION DR using the Loudoun Decks phone. Claim/suppress/update to Loudoun Decks Centreville NAP."
2,Local citation cleanup,brownbook.net,https://www.brownbook.net/,Local citation,Loudoun Decks,Incorrect in Yext scan,"Yext scan found Loudoun Decks with blank/wrong address. Add canonical address, phone, and website."
2,Local citation cleanup,showmelocal.com,https://www.showmelocal.com/,Local citation,Loudoun Decks,Name variant in Yext scan,"Yext scan found LDNDECKS with correct Centreville NAP. Standardize business name to Loudoun Decks and add/verify website."
2,Local citation cleanup,cylex.us.com,https://www.cylex.us.com/,Local citation,Loudoun Decks,Name variant in Yext scan,"Yext scan found LOUDOUN DECKS BUILDER with correct NAP. Standardize business name to Loudoun Decks and add/verify website."
2,Local citation cleanup,growcycle.com,https://growcycle.com/services/pro/loudoun-decks,Profile website/entity citation,Loudoun Decks,Incorrect public NAP,"Public result shows ldndecks.com and license 2705191673, but address is old 42785 Generation Dr, Ashburn VA 20147. Claim/update or suppress to canonical Centreville NAP."
2,Local citation cleanup,nextdoor.com,https://nextdoor.com/pages/loudoun-decks-buildin-centreville-va/,Local profile,Loudoun Decks,Name/contact variant,"Public result shows name variant loudoun decks buildin and older Gmail-style contact. Claim/update page name, website, phone, and canonical email if account access is available."
2,Review platform,birdeye.com,https://reviews.birdeye.com/loudoun-decks-builder-171818893055699,Profile website link,Loudoun Decks,Verified link,"Keep active; HTML exposed direct link to https://ldndecks.com/."
2,Review platform,trustpilot.com,https://www.trustpilot.com/review/ldndecks.com,Profile website/entity citation,Loudoun Decks,Verified in dashboard,"Profile is claimed; contact info complete; primary category Deck Builder; secondary categories relevant. Optional: complete proof of identity."
2,Partner outreach,local lumber supplier,TBD,Partner/vendor page link,Loudoun Decks,Not started,"Ask suppliers for preferred contractor or project partner listing."
2,Partner outreach,realtor partners,TBD,Resource page link,"Deck cost guide by Loudoun Decks",Not started,"Pitch deck ROI/cost resource to realtors serving Loudoun/Fairfax."
2,Partner outreach,home inspector partners,TBD,Resource page link,"Deck safety checklist by Loudoun Decks",Not started,"Pitch deck safety inspection checklist as homeowner resource."
3,Linkable asset,ldndecks.com,https://ldndecks.com/northern-virginia-deck-cost-report-2026,Editorial/resource link,Northern Virginia Deck Cost Report,Existing asset,"Use this as primary outreach asset for local sites."
3,Linkable asset,ldndecks.com,https://ldndecks.com/deck-permit-loudoun-county-virginia,Editorial/resource link,Loudoun County deck permit guide,Existing asset,"Pitch to HOA/community management and realtor resource pages."
3,Linkable asset,ldndecks.com,https://ldndecks.com/deck-cost-calculator,Tool link,Deck cost calculator,Existing asset,"Pitch as homeowner planning calculator."
3,Local sponsorship,schools/teams/community events,TBD,Sponsor page link,Loudoun Decks,Not started,"Prioritize pages that list sponsors with followed website links."
