Campaign,Sitelink text,Final URL,Status
SRCH | Composite | 3 Counties | Calls,Composite Decks,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Deck Replacement,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Composite | 3 Counties | Calls,Before & After,https://www.ldndecks.com/before-and-after/,Paused
SRCH | Composite | 3 Counties | Calls,Permits + HOA,https://www.ldndecks.com/deck-permit-loudoun-county-virginia/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Composite Decks,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Deck Replacement,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Before & After,https://www.ldndecks.com/before-and-after/,Paused
SRCH | Deck Builders | 3 Counties | Calls,Permits + HOA,https://www.ldndecks.com/deck-permit-loudoun-county-virginia/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Composite Decks,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Before & After,https://www.ldndecks.com/before-and-after/,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Permits + HOA,https://www.ldndecks.com/deck-permit-loudoun-county-virginia/,Paused
SRCH | Branded | 3 Counties | Calls,Composite Decks,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Branded | 3 Counties | Calls,Deck Replacement,https://www.ldndecks.com/services/deck-replacement/,Paused
SRCH | Branded | 3 Counties | Calls,Before & After,https://www.ldndecks.com/before-and-after/,Paused
SRCH | Branded | 3 Counties | Calls,Permits + HOA,https://www.ldndecks.com/deck-permit-loudoun-county-virginia/,Paused
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,McLean Premium Budget,https://ldndecks.com/mclean-great-falls-premium-deck-budget/,Paused
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,Arlington Deck Builder,https://ldndecks.com/deck-builder-arlington-va/,Paused
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,Alexandria Deck Builder,https://ldndecks.com/deck-builder-alexandria-va/,Paused
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,Composite Decks,https://ldndecks.com/composite-decks/,Paused
