Campaign,Callout text,Status
SRCH | Composite | 3 Counties | Calls,Licensed & Insured,Paused
SRCH | Composite | 3 Counties | Calls,5.0 Google Rated,Paused
SRCH | Composite | 3 Counties | Calls,Trex Platinum Partner,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech Certified,Paused
SRCH | Composite | 3 Counties | Calls,Permits & HOA Handled,Paused
SRCH | Composite | 3 Counties | Calls,Projects From $15k+,Paused
SRCH | Composite | 3 Counties | Calls,Composite Specialists,Paused
SRCH | Composite | 3 Counties | Calls,Free Structural Check,Paused
SRCH | Deck Builders | 3 Counties | Calls,Licensed & Insured,Paused
SRCH | Deck Builders | 3 Counties | Calls,5.0 Google Rated,Paused
SRCH | Deck Builders | 3 Counties | Calls,Trex Platinum Partner,Paused
SRCH | Deck Builders | 3 Counties | Calls,TimberTech Certified,Paused
SRCH | Deck Builders | 3 Counties | Calls,Permits & HOA Handled,Paused
SRCH | Deck Builders | 3 Counties | Calls,Projects From $15k+,Paused
SRCH | Deck Builders | 3 Counties | Calls,Composite Specialists,Paused
SRCH | Deck Builders | 3 Counties | Calls,Free Structural Check,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Licensed & Insured,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,5.0 Google Rated,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Trex Platinum Partner,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,TimberTech Certified,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Permits & HOA Handled,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Projects From $15k+,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Composite Specialists,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Free Structural Check,Paused
SRCH | Branded | 3 Counties | Calls,Licensed & Insured,Paused
SRCH | Branded | 3 Counties | Calls,5.0 Google Rated,Paused
SRCH | Branded | 3 Counties | Calls,Trex Platinum Partner,Paused
SRCH | Branded | 3 Counties | Calls,TimberTech Certified,Paused
SRCH | Branded | 3 Counties | Calls,Permits & HOA Handled,Paused
SRCH | Branded | 3 Counties | Calls,Projects From $15k+,Paused
SRCH | Branded | 3 Counties | Calls,Composite Specialists,Paused
SRCH | Branded | 3 Counties | Calls,Free Structural Check,Paused
